"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"180","Yannick Mertens","mg08","yannick-mertens","https://www.atptour.com/en/players/yannick-mertens/mg08/overview","33(1987.06.25)","2006","156lbs(71kg)","6'1""(185cm)","Anderlecht,Belgium","Ternat,Belgium","Right-Handed,Two-HandedBackhand","KrisMertens"
"181","Josselin Ouanna","o264","josselin-ouanna","https://www.atptour.com/en/players/josselin-ouanna/o264/overview","(1986.04.14)","2004","200lbs(91kg)","6'4""(193cm)","Tours,France","LeChesnay,France","Right-Handed,UnknownBackhand","JeromePotier/LaurentRaymond"
"182","Dominik Meffert","m836","dominik-meffert","https://www.atptour.com/en/players/dominik-meffert/m836/overview","(1981.04.09)","2005","203lbs(92kg)","6'6""(198cm)","Mayen,Germany","Koeln,Germany","Right-Handed,One-HandedBackhand","TomasBehrend"
"183","Nicolas Kiefer","k316","nicolas-kiefer","https://www.atptour.com/en/players/nicolas-kiefer/k316/overview","(1977.07.05)","1995","177lbs(80kg)","6'0""(183cm)","Holzminden,Germany","Sievershausen,Germany","Right-Handed,Two-HandedBackhand",""
"184","Blaz Kavcic","k834","blaz-kavcic","https://www.atptour.com/en/players/blaz-kavcic/k834/overview","33(1987.03.05)","2005","172lbs(78kg)","6'2""(188cm)","Ljubljana,Slovenia","Dubai,UAE","Right-Handed,Two-HandedBackhand",""
"185","Izak Van der Merwe","v379","izak-van-der-merwe","https://www.atptour.com/en/players/izak-van-der-merwe/v379/overview","(1984.01.26)","2005","194lbs(88kg)","6'5""(196cm)","Johannesburg,SouthAfrica","Stellenbosch,SouthAfrica","Right-Handed,UnknownBackhand","RodrigoLeander"
"186","Laurent Recouderc","r628","laurent-recouderc","https://www.atptour.com/en/players/laurent-recouderc/r628/overview","(1984.07.10)","","","","","","Right-Handed,UnknownBackhand","JeromePotier-PhotosKallias"
"187","Thiago Alves","a410","thiago-alves","https://www.atptour.com/en/players/thiago-alves/a410/overview","(1982.05.22)","2000","165lbs(75kg)","5'10""(178cm)","SaoJosedoRioPreto,Brazil","SaoJosedoRioPreto,Brazil","Right-Handed,Two-HandedBackhand","CarlosAlbano"
"188","Filip Prpic","p567","filip-prpic","https://www.atptour.com/en/players/filip-prpic/p567/overview","(1982.05.26)","2002","163lbs(74kg)","5'8""(173cm)","Helsingborg,Sweden","Helsingborg,Sweden","Right-Handed,Two-HandedBackhand","RolandHanssan"
"189","Yan Bai","be69","yan-bai","https://www.atptour.com/en/players/yan-bai/be69/overview","31(1989.05.21)","","176lbs(80kg)","6'1""(185cm)","Nanjing,China","Shanghai,China","Right-Handed,Two-HandedBackhand",""
"190","Joao Souza","sg64","joao-souza","https://www.atptour.com/en/players/joao-souza/sg64/overview","32(1988.05.27)","2006","203lbs(92kg)","6'4""(193cm)","MogidasCruzes,Brazil","RiodeJaneiro,Brazil","Right-Handed,Two-HandedBackhand","RicardoAcioly"
"191","Ruben Ramirez Hidalgo","r383","ruben-ramirez-hidalgo","https://www.atptour.com/en/players/ruben-ramirez-hidalgo/r383/overview","42(1978.01.06)","1998","163lbs(74kg)","6'0""(183cm)","Alicante,Spain","Alicante,Spain","Right-Handed,Two-HandedBackhand",""
"192","Paul Capdeville","c634","paul-capdeville","https://www.atptour.com/en/players/paul-capdeville/c634/overview","(1983.04.02)","2002","172lbs(78kg)","6'3""(191cm)","Santiago,Chile","Vitacura,Chile","Right-Handed,Two-HandedBackhand","AndresSchniter"
"193","Jose Acasuso","a389","jose-acasuso","https://www.atptour.com/en/players/jose-acasuso/a389/overview","(1982.10.20)","1999","190lbs(86kg)","6'3""(191cm)","Posadas-Misiones,Argentina","BuenosAires,Argentina","Right-Handed,One-HandedBackhand","SebastianPrieto"
"194","David Marrero","m984","david-marrero","https://www.atptour.com/en/players/david-marrero/m984/overview","40(1980.04.08)","2001","196lbs(89kg)","6'0""(183cm)","LasPalmas,Spain","LasPalmas,Spain","Right-Handed,One-HandedBackhand","DominicConde"
"195","Filip Krajinovic","kb05","filip-krajinovic","https://www.atptour.com/en/players/filip-krajinovic/kb05/overview","28(1992.02.27)","2008","165lbs(75kg)","6'1""(185cm)","Sombor,Serbia","Belgrade,Serbia","Right-Handed,Two-HandedBackhand","JankoTipsarevic"
"196","Alessio Di Mauro","d330","alessio-di-mauro","https://www.atptour.com/en/players/alessio-di-mauro/d330/overview","(1977.08.09)","1998","156lbs(71kg)","6'1""(185cm)","Siracusa,Italy","Siracusa,Italy","Left-Handed,UnknownBackhand","FabioRizzo"
"197","Edouard Roger-Vasselin","r613","edouard-roger-vasselin","https://www.atptour.com/en/players/edouard-roger-vasselin/r613/overview","36(1983.11.28)","2002","173lbs(78kg)","6'1""(185cm)","Gennevilliers,France","Suresnes,France","Right-Handed,Two-HandedBackhand","GrégoireJacq"
"198","Kei Nishikori","n552","kei-nishikori","https://www.atptour.com/en/players/kei-nishikori/n552/overview","30(1989.12.29)","2007","161lbs(73kg)","5'10""(178cm)","Shimane,Japan","Bradenton,FL,USA","Right-Handed,Two-HandedBackhand","MichaelChang,MaxMirnyi"
"199","Carlos Berlocq","b884","carlos-berlocq","https://www.atptour.com/en/players/carlos-berlocq/b884/overview","(1983.02.03)","2001","178lbs(81kg)","6'0""(183cm)","Chascomus,Argentina","BuenosAires,Argentina","Right-Handed,One-HandedBackhand","JuanMartinAranguren"
"200","Nicolas Massu","m655","nicolas-massu","https://www.atptour.com/en/players/nicolas-massu/m655/overview","40(1979.10.10)","1997","177lbs(80kg)","6'0""(183cm)","VinadelMar,Chile","VinadelMar,Chile","Right-Handed,Two-HandedBackhand","GabrielMarkus"
"201","Ilija Bozoljac","ba57","ilija-bozoljac","https://www.atptour.com/en/players/ilija-bozoljac/ba57/overview","(1985.08.02)","2002","189lbs(86kg)","6'4""(193cm)","Aleksandrovac,Serbia","Belgrade,Serbia","Right-Handed,UnknownBackhand","DanielMeyers"
"202","Brendan Evans","e254","brendan-evans","https://www.atptour.com/en/players/brendan-evans/e254/overview","(1986.04.08)","2004","200lbs(91kg)","6'2""(188cm)","Pontiac,Michigan,USA","WesleyChapel,FL,USA","Right-Handed,UnknownBackhand",""
"203","Karol Beck","b804","karol-beck","https://www.atptour.com/en/players/karol-beck/b804/overview","38(1982.04.03)","2001","163lbs(74kg)","5'11""(180cm)","Zvolen,SlovakRepublic","Zvolen,SlovakRepublic","Right-Handed,Two-HandedBackhand","JanKroslak"
"204","Michal Przysiezny","p701","michal-przysiezny","https://www.atptour.com/en/players/michal-przysiezny/p701/overview","36(1984.02.16)","2001","185lbs(84kg)","6'1""(185cm)","Glogow,Poland","Wroclaw,Poland","Right-Handed,UnknownBackhand",""
"205","Martin Fischer","f580","martin-fischer","https://www.atptour.com/en/players/martin-fischer/f580/overview","(1986.07.21)","2005","157lbs(71kg)","5'11""(180cm)","Dornbirn,Austria","Wolfurt,Austria","Right-Handed,UnknownBackhand","NicholasCarr-JoachimKretz"
"206","Benoit Paire","pd31","benoit-paire","https://www.atptour.com/en/players/benoit-paire/pd31/overview","31(1989.05.08)","2007","176lbs(80kg)","6'5""(196cm)","Avignon,France","Geneva,Switzerland","Right-Handed,Two-HandedBackhand","MorganBourbon"
"207","Evgeny Donskoy","d864","evgeny-donskoy","https://www.atptour.com/en/players/evgeny-donskoy/d864/overview","30(1990.05.09)","2007","165lbs(75kg)","6'1""(185cm)","Moscow,Russia","Moscow,Russia","Right-Handed,Two-HandedBackhand","AndreyKuznetsov"
"208","Konstantin Kravchuk","k776","konstantin-kravchuk","https://www.atptour.com/en/players/konstantin-kravchuk/k776/overview","35(1985.02.23)","2004","176lbs(80kg)","6'3""(191cm)","Moscow,Russia","Moscow,Russia","Right-Handed,Two-HandedBackhand","MikhailBril"
"209","Juan Martin del Potro","d683","juan-martin-del-potro","https://www.atptour.com/en/players/juan-martin-del-potro/d683/overview","31(1988.09.23)","2005","214lbs(97kg)","6'6""(198cm)","Tandil,Argentina","Tandil,Argentina","Right-Handed,Two-HandedBackhand",""
"210","Ivan Sergeyev","se69","ivan-sergeyev","https://www.atptour.com/en/players/ivan-sergeyev/se69/overview","32(1988.01.20)","","172lbs(78kg)","5'9""(175cm)","Dniepropetrovsk,Ukraine","Dniepropetrovsk,Ukraine","Right-Handed,Two-HandedBackhand",""
"211","Louk Sorensen","sd69","louk-sorensen","https://www.atptour.com/en/players/louk-sorensen/sd69/overview","(1985.01.07)","2003","172lbs(78kg)","5'9""(175cm)","","Stuttgart,Germany","Right-Handed,Two-HandedBackhand","KevinSorensen"
"212","Antonio Veic","v564","antonio-veic","https://www.atptour.com/en/players/antonio-veic/v564/overview","(1988.02.18)","2006","163lbs(74kg)","5'11""(180cm)","MaliLosinj,Croatia","Zagreb,Croatia","Right-Handed,Two-HandedBackhand","HakanDahlbo"
"213","Yuki Bhambri","bf55","yuki-bhambri","https://www.atptour.com/en/players/yuki-bhambri/bf55/overview","(1992.07.04)","2008","165lbs(75kg)","6'1""(185cm)","NewDelhi,India","NewDelhi,India","Right-Handed,Two-HandedBackhand","AdityaSachdeva,StephenKoon"
"214","James Ward","w503","james-ward","https://www.atptour.com/en/players/james-ward/w503/overview","33(1987.02.09)","2006","171lbs(78kg)","6'2""(188cm)","London,England","London,England","Right-Handed,Two-HandedBackhand","BenHaran"
"215","Andrey Kuznetsov","kb54","andrey-kuznetsov","https://www.atptour.com/en/players/andrey-kuznetsov/kb54/overview","(1991.02.22)","2008","156lbs(71kg)","6'1""(185cm)","Tula,Russia","Balashikha,Russia","Right-Handed,Two-HandedBackhand","JoseChecaCalvo"
"216","Simone Vagnozzi","v339","simone-vagnozzi","https://www.atptour.com/en/players/simone-vagnozzi/v339/overview","(1983.05.30)","1999","132lbs(60kg)","0'0""(0cm)","AscoliPiceno,Italy","Castorano,Italy","Right-Handed,UnknownBackhand","MassimoSartori"
"217","Adrian Ungur","u061","adrian-ungur","https://www.atptour.com/en/players/adrian-ungur/u061/overview","(1985.01.22)","2003","161lbs(73kg)","5'10""(178cm)","Pitesti,Romania","Bucharest,Romania","Right-Handed,One-HandedBackhand","FabrizioFanucci"
"218","Kevin Kim","k358","kevin-kim","https://www.atptour.com/en/players/kevin-kim/k358/overview","(1978.07.26)","1997","165lbs(75kg)","5'11""(180cm)","Torrance,CA,U.S.A.","NewportCoast,CA,U.S.A.","Right-Handed,One-HandedBackhand",""
"219","Flavio Cipolla","c723","flavio-cipolla","https://www.atptour.com/en/players/flavio-cipolla/c723/overview","(1983.10.20)","2003","163lbs(74kg)","5'8""(173cm)","Rome,Italy","Rome,Italy","Right-Handed,One-HandedBackhand",""
"220","Danai Udomchoke","u043","danai-udomchoke","https://www.atptour.com/en/players/danai-udomchoke/u043/overview","(1981.08.11)","1997","141lbs(64kg)","5'8""(173cm)","Bangkok,Thailand","Bangkok,Thailand","Right-Handed,UnknownBackhand","JanStoce"
"221","Alex Bogomolov Jr.","b842","alex-bogomolov-jr.","https://www.atptour.com/en/players/alex-bogomolov-jr./b842/overview","(1983.04.23)","2002","165lbs(75kg)","5'10""(178cm)","Moscow,Russia","BocaRaton,Florida,USA","Right-Handed,Two-HandedBackhand","SchabYoav"
"222","Denis Gremelmayr","g512","denis-gremelmayr","https://www.atptour.com/en/players/denis-gremelmayr/g512/overview","(1981.08.16)","2000","160lbs(73kg)","6'0""(183cm)","Heidelberg,Germany","Lampertheim,Germany","Left-Handed,Two-HandedBackhand","HemutLuethy"
"223","Michael Yani","y070","michael-yani","https://www.atptour.com/en/players/michael-yani/y070/overview","(1980.12.31)","2003","165lbs(75kg)","6'1""(185cm)","Singapore","Honolulu,HI","Right-Handed,Two-HandedBackhand",""
"224","Jimmy Wang","w373","jimmy-wang","https://www.atptour.com/en/players/jimmy-wang/w373/overview","35(1985.02.08)","2001","162lbs(73kg)","5'11""(180cm)","SaudiArabia","Taipei,ChineseTaipei","Right-Handed,Two-HandedBackhand","DejanPetrovic&VaheAssadourian"
"225","Diego Junqueira","j214","diego-junqueira","https://www.atptour.com/en/players/diego-junqueira/j214/overview","(1980.12.28)","2001","159lbs(72kg)","5'10""(178cm)","Tandil,BuenosAires,Argentin","BuenosAires,Argentina","Left-Handed,UnknownBackhand","WalterGrinovero"
"226","Jonathan Dasnieres de Veigy","d729","jonathan-dasnieres-de-veigy","https://www.atptour.com/en/players/jonathan-dasnieres-de-veigy/d729/overview","(1987.01.05)","2008","168lbs(76kg)","5'9""(175cm)","Nimes,France","Boulogne-Billancourt,France","Left-Handed,Two-HandedBackhand","JeromePotier"
"227","Guillermo Olaso","o327","guillermo-olaso","https://www.atptour.com/en/players/guillermo-olaso/o327/overview","(1988.03.25)","2006","163lbs(74kg)","5'9""(175cm)","Bilbao,Spain","Singapore,Singapore","Right-Handed,Two-HandedBackhand","RonaldMartin&JeremySwyngedouw"
"228","Federico Delbonis","d874","federico-delbonis","https://www.atptour.com/en/players/federico-delbonis/d874/overview","29(1990.10.05)","2007","198lbs(90kg)","6'4""(193cm)","Azul,Argentina","Azul,Argentina","Left-Handed,Two-HandedBackhand","GustavoTavernini"
"229","Pavol Cervenak","ca22","pavol-cervenak","https://www.atptour.com/en/players/pavol-cervenak/ca22/overview","(1987.07.01)","","170lbs(77kg)","6'3""(191cm)","Bratislava","Cologne,Germany","Right-Handed,Two-HandedBackhand","Mark-KevinGoellner"
"230","Cedrik-Marcel Stebe","sk94","cedrik-marcel-stebe","https://www.atptour.com/en/players/cedrik-marcel-stebe/sk94/overview","29(1990.10.09)","2010","154lbs(70kg)","5'11""(180cm)","Muehlacker,Germany","Lochau,Austria","Left-Handed,Two-HandedBackhand","TobiasSummerer"
"231","Tatsuma Ito","i230","tatsuma-ito","https://www.atptour.com/en/players/tatsuma-ito/i230/overview","32(1988.05.18)","2006","165lbs(75kg)","5'11""(180cm)","Mie,Japan","Tokyo,Japan","Right-Handed,Two-HandedBackhand","AlexanderWaske"
"232","Dominic Thiem","tb69","dominic-thiem","https://www.atptour.com/en/players/dominic-thiem/tb69/overview","26(1993.09.03)","2011","174lbs(79kg)","6'1""(185cm)","WienerNeustadt,Austria","Lichtenworth,Austria","Right-Handed,One-HandedBackhand","NicolasMassu"
"233","Aljaz Bedene","bh09","aljaz-bedene","https://www.atptour.com/en/players/aljaz-bedene/bh09/overview","31(1989.07.18)","2008","161lbs(73kg)","6'0""(183cm)","Ljubljana,Slovenia","London,England","Right-Handed,Two-HandedBackhand","MarkusWislsperger,MihaMlakar,AndrazBedene"
"234","Mathieu Rodrigues","r851","mathieu-rodrigues","https://www.atptour.com/en/players/mathieu-rodrigues/r851/overview","(1985.11.07)","2007","168lbs(76kg)","5'11""(180cm)","RomorantinLanthenay,France","Suresnes,France","Right-Handed,Two-HandedBackhand","TeddyDjabali"
"235","Nicolas Renavand","r588","nicolas-renavand","https://www.atptour.com/en/players/nicolas-renavand/r588/overview","(1982.06.25)","","","","","","",""
"236","Robert Kendrick","k448","robert-kendrick","https://www.atptour.com/en/players/robert-kendrick/k448/overview","(1979.11.15)","2000","190lbs(86kg)","6'3""(191cm)","Fresno,California,USA","Orlando,FL,U.S.A.","Right-Handed,Two-HandedBackhand","DustinTaylor"
"237","Rik De Voest","d424","rik-de-voest","https://www.atptour.com/en/players/rik-de-voest/d424/overview","(1980.06.05)","1999","150lbs(68kg)","5'11""(180cm)","Milan,Italy","Vancouver,Canada","Right-Handed,Two-HandedBackhand",""
"238","Bastian Knittel","k624","bastian-knittel","https://www.atptour.com/en/players/bastian-knittel/k624/overview","(1983.08.08)","2003","157lbs(71kg)","5'11""(180cm)","Stuttgart,Germany","Stuttgart,Germany","Left-Handed,UnknownBackhand","RobertLopez"
"239","Lukas Rosol","r685","lukas-rosol","https://www.atptour.com/en/players/lukas-rosol/r685/overview","35(1985.07.24)","2004","182lbs(83kg)","6'4""(193cm)","Brno,CzechRepublic","Prague,CzechRepublic","Right-Handed,Two-HandedBackhand","HynekFromel"
"240","Chris Guccione","g621","chris-guccione","https://www.atptour.com/en/players/chris-guccione/g621/overview","34(1985.07.30)","2003","202lbs(92kg)","6'7""(201cm)","Melbourne,Australia","NewYork,NY,USA","Left-Handed,One-HandedBackhand",""
"241","Vasek Pospisil","pd07","vasek-pospisil","https://www.atptour.com/en/players/vasek-pospisil/pd07/overview","30(1990.06.23)","2007","194lbs(88kg)","6'4""(193cm)","Vernon,Canada","Freeport,Bahamas","Right-Handed,Two-HandedBackhand","FrankDancevic"
"242","Daniel Kosakowski","kc11","daniel-kosakowski","https://www.atptour.com/en/players/daniel-kosakowski/kc11/overview","(1992.02.21)","2011","175lbs(79kg)","6'1""(185cm)","HuntingtonPark,California","Downey,California","Right-Handed,UnknownBackhand","MarcinKosakowski"
"243","Sebastian Rieschick","r758","sebastian-rieschick","https://www.atptour.com/en/players/sebastian-rieschick/r758/overview","(1986.02.15)","","","","","Germany","Right-Handed,UnknownBackhand",""
"244","Gianluca Naso","n437","gianluca-naso","https://www.atptour.com/en/players/gianluca-naso/n437/overview","(1987.01.06)","","198lbs(90kg)","6'4""(193cm)","Erice","Erice","Right-Handed,One-HandedBackhand","AndreaMeli"
"245","Jesse Huta Galung","h704","jesse-huta-galung","https://www.atptour.com/en/players/jesse-huta-galung/h704/overview","(1985.10.06)","2004","196lbs(89kg)","","Haarlem,TheNetherlands","Poortugaal,TheNetherlands","Right-Handed,One-HandedBackhand",""
"246","Javier Marti","mi08","javier-marti","https://www.atptour.com/en/players/javier-marti/mi08/overview","28(1992.01.11)","","","","","","Right-Handed,UnknownBackhand","OscarBurrieza"
"247","Joao Sousa","sh90","joao-sousa","https://www.atptour.com/en/players/joao-sousa/sh90/overview","31(1989.03.30)","2008","163lbs(74kg)","6'1""(185cm)","Guimaraes,Portugal","Barcelona,Spain","Right-Handed,Two-HandedBackhand","FredericoMarques"
"248","Jan Hernych","h442","jan-hernych","https://www.atptour.com/en/players/jan-hernych/h442/overview","(1979.07.07)","1998","182lbs(83kg)","6'2""(188cm)","Prague,CzechRepublic","Prague,CzechRepublic","Right-Handed,Two-HandedBackhand","JiriHrebec"
"249","Fritz Wolmarans","w421","fritz-wolmarans","https://www.atptour.com/en/players/fritz-wolmarans/w421/overview","(1986.03.07)","","","","","","Right-Handed,UnknownBackhand",""
"250","Caio Zampieri","z198","caio-zampieri","https://www.atptour.com/en/players/caio-zampieri/z198/overview","(1986.05.27)","2005","174lbs(79kg)","6'0""(183cm)","MogiGuacu,Brazil","SaoPaulo,Brazil","Right-Handed,UnknownBackhand","AndrePodalka"
"251","Juan Pablo Brzezicki","b764","juan-pablo-brzezicki","https://www.atptour.com/en/players/juan-pablo-brzezicki/b764/overview","(1982.04.12)","2001","158lbs(72kg)","5'10""(178cm)","BuenosAires,Argentina","BuenosAires,Argentina","Right-Handed,UnknownBackhand",""
"252","Thomas Schoorel","sj63","thomas-schoorel","https://www.atptour.com/en/players/thomas-schoorel/sj63/overview","(1989.04.08)","","","6'8""(203cm)","Amsterdam,Netherlands","Amsterdam,Netherlands","Left-Handed,UnknownBackhand",""
"253","Maxime Teixeira","t999","maxime-teixeira","https://www.atptour.com/en/players/maxime-teixeira/t999/overview","(1989.01.18)","2010","165lbs(75kg)","6'2""(188cm)","","Paris,France","Right-Handed,UnknownBackhand","BorisVallejo"
"254","Malek Jaziri","j267","malek-jaziri","https://www.atptour.com/en/players/malek-jaziri/j267/overview","36(1984.01.20)","2003","179lbs(81kg)","6'1""(185cm)","Bizerte,Tunisia","Tunis,Tunisia","Right-Handed,Two-HandedBackhand","ChristopheFreyss"
"255","Rogerio Dutra Silva","sc73","rogerio-dutra-silva","https://www.atptour.com/en/players/rogerio-dutra-silva/sc73/overview","36(1984.02.05)","2003","161lbs(73kg)","5'10""(178cm)","SaoPaulo,Brazil","SantaBarbarad'Oeste,Brazil","Right-Handed,One-HandedBackhand",""
"256","Jean-Rene Lisnard","l386","jean-rene-lisnard","https://www.atptour.com/en/players/jean-rene-lisnard/l386/overview","(1979.09.25)","1997","150lbs(68kg)","5'8""(173cm)","Cannes,France","MonteCarlo,Monaco","Right-Handed,One-HandedBackhand",""
"257","Jack Sock","sm25","jack-sock","https://www.atptour.com/en/players/jack-sock/sm25/overview","27(1992.09.24)","2011","195lbs(88kg)","6'3""(191cm)","Lincoln,NE,USA","KansasCity,KS,USA","Right-Handed,Two-HandedBackhand",""
"258","Dusan Lajovic","l987","dusan-lajovic","https://www.atptour.com/en/players/dusan-lajovic/l987/overview","30(1990.06.30)","2007","183lbs(83kg)","6'0""(183cm)","Belgrade,Serbia","StaraPazova,Serbia","Right-Handed,One-HandedBackhand","JosePerlas"
"259","David Goffin","gb88","david-goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","29(1990.12.07)","2009","154lbs(70kg)","5'11""(180cm)","Rocourt,Belgium","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","ThomasJohansson"
"260","Pierre-Ludovic Duclos","d686","pierre-ludovic-duclos","https://www.atptour.com/en/players/pierre-ludovic-duclos/d686/overview","(1986.01.08)","2007","165lbs(75kg)","6'2""(188cm)","Quebec,Canada","Tampa,Florida,USA","Right-Handed,UnknownBackhand","LuchoArboleda-GerardoAzcurra"
"261","Ze Zhang","z272","ze-zhang","https://www.atptour.com/en/players/ze-zhang/z272/overview","30(1990.07.04)","2008","187lbs(85kg)","6'2""(188cm)","Nanjing,China","Nanjing,China","Right-Handed,Two-HandedBackhand","RobertDavis"
"262","Alessandro Giannessi","g983","alessandro-giannessi","https://www.atptour.com/en/players/alessandro-giannessi/g983/overview","30(1990.05.30)","2008","180lbs(82kg)","6'1""(185cm)","LaSpezia,Italy","LaSpezia,Italy","Left-Handed,Two-HandedBackhand","FlavioCipolla"
"263","Marius Copil","ca99","marius-copil","https://www.atptour.com/en/players/marius-copil/ca99/overview","29(1990.10.17)","2008","192lbs(87kg)","6'4""(193cm)","Arad,Romania","Arad,Romania","Right-Handed,One-HandedBackhand","AndreiPavel"
"264","Santiago Gonzalez","g551","santiago-gonzalez","https://www.atptour.com/en/players/santiago-gonzalez/g551/overview","37(1983.02.24)","2001","202lbs(92kg)","6'3""(191cm)","Cordoba,Mexico","Cordoba,Mexico","Right-Handed,Two-HandedBackhand","BrunoEchagaray"
"265","Yuichi Sugita","se73","yuichi-sugita","https://www.atptour.com/en/players/yuichi-sugita/se73/overview","31(1988.09.18)","2006","159lbs(72kg)","5'9""(175cm)","Sendai,Japan","Tokyo,Japan","Right-Handed,Two-HandedBackhand",""
"266","Alexander Kudryavtsev","k596","alexander-kudryavtsev","https://www.atptour.com/en/players/alexander-kudryavtsev/k596/overview","(1985.10.26)","","174lbs(79kg)","6'0""(183cm)","Yekaterinburg,Russia","StPetersburg,Russia","Right-Handed,UnknownBackhand",""
"267","Hiroki Moriya","mi01","hiroki-moriya","https://www.atptour.com/en/players/hiroki-moriya/mi01/overview","29(1990.10.16)","","143lbs(65kg)","5'6""(168cm)","Tokyo,Japan","Tokyo,Japan","Right-Handed,Two-HandedBackhand","BrunoAlcalaSerrano"
"268","Robert Farah","f525","robert-farah","https://www.atptour.com/en/players/robert-farah/f525/overview","33(1987.01.20)","2010","196lbs(89kg)","6'4""(193cm)","Montreal,Canada","PanamaCity,Panama","Right-Handed,Two-HandedBackhand","JeffCoetzee"
"269","Jamie Baker","ba53","jamie-baker","https://www.atptour.com/en/players/jamie-baker/ba53/overview","(1986.08.05)","","179lbs(81kg)","6'0""(183cm)","Glasgow,Scotland","Glasgow,Scotland","Right-Handed,UnknownBackhand","KeithReynolds"
"270","Jurgen Zopp","z254","jurgen-zopp","https://www.atptour.com/en/players/jurgen-zopp/z254/overview","32(1988.03.29)","2008","194lbs(88kg)","6'3""(191cm)","Tallinn,Estonia","Tallinn,Estonia","Right-Handed,Two-HandedBackhand","KimTiilikainen"
"271","Ivo Minar","ma41","ivo-minar","https://www.atptour.com/en/players/ivo-minar/ma41/overview","(1984.05.21)","2002","187lbs(85kg)","6'0""(183cm)","Prague,CzechRepublic","Prague,CzechRepublic","Right-Handed,UnknownBackhand","KarolDusan"
"272","Attila Balazs","bd80","attila-balazs","https://www.atptour.com/en/players/attila-balazs/bd80/overview","31(1988.09.27)","","172lbs(78kg)","5'11""(180cm)","Budapest,Hungary","Budapest,Hungary","Right-Handed,Two-HandedBackhand","DanielSzendrei"
"273","Philipp Oswald","o305","philipp-oswald","https://www.atptour.com/en/players/philipp-oswald/o305/overview","34(1986.01.23)","2005","209lbs(95kg)","6'7""(201cm)","Feldkirch,Austria","Dornbirn,Austria","Right-Handed,One-HandedBackhand","JoachimKretz"
"274","Brian Baker","ba23","brian-baker","https://www.atptour.com/en/players/brian-baker/ba23/overview","(1985.04.30)","2003","170lbs(77kg)","6'3""(191cm)","Nashville,TN,USA","Nashville,TN,USA","Right-Handed,Two-HandedBackhand","SteveBaker"
"275","Bobby Reynolds","r483","bobby-reynolds","https://www.atptour.com/en/players/bobby-reynolds/r483/overview","(1982.07.17)","2003","170lbs(77kg)","6'0""(183cm)","CapeCod,MA,USA","Marietta,Georgia,USA","Right-Handed,Two-HandedBackhand","DavidDrew"
"276","James Duckworth","d994","james-duckworth","https://www.atptour.com/en/players/james-duckworth/d994/overview","28(1992.01.21)","2010","181lbs(82kg)","6'0""(183cm)","Sydney,Australia","Sydney,Australia","Right-Handed,Two-HandedBackhand","MarkDraper"
"277","Clement Reix","r852","clement-reix","https://www.atptour.com/en/players/clement-reix/r852/overview","(1983.10.09)","","","","","","",""
"278","Vincent Millot","me31","vincent-millot","https://www.atptour.com/en/players/vincent-millot/me31/overview","34(1986.01.30)","2007","165lbs(75kg)","5'8""(173cm)","Montpellier,France","Dijon,France","Left-Handed,Two-HandedBackhand","DanielMeyers"
"279","Jerzy Janowicz","j397","jerzy-janowicz","https://www.atptour.com/en/players/jerzy-janowicz/j397/overview","29(1990.11.13)","2007","207lbs(94kg)","6'8""(203cm)","Lodz,Poland","Lodz,Poland","Right-Handed,Two-HandedBackhand",""
"280","Sergio Gutierrez-Ferrol","g935","sergio-gutierrez-ferrol","https://www.atptour.com/en/players/sergio-gutierrez-ferrol/g935/overview","31(1989.03.05)","","","","","","Right-Handed,UnknownBackhand","AdolfoGutierrez-Ferrol"
"281","Lamine Ouahab","o207","lamine-ouahab","https://www.atptour.com/en/players/lamine-ouahab/o207/overview","35(1984.12.22)","2002","183lbs(83kg)","6'1""(185cm)","Algiers,Algeria","Barcelona,Spain","Right-Handed,UnknownBackhand","DaouadjiOuassini"
"282","Roberto Bautista Agut","bd06","roberto-bautista-agut","https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview","32(1988.04.14)","2005","165lbs(75kg)","6'0""(183cm)","CastellondelaPlana,Spain","CastellondelaPlana,Spain","Right-Handed,Two-HandedBackhand","PepeVendrell"
"283","Dimitar Kutrovsky","k918","dimitar-kutrovsky","https://www.atptour.com/en/players/dimitar-kutrovsky/k918/overview","(1987.08.27)","","162lbs(73kg)","5'9""(175cm)","Sofia,Bulgaria","Austin,Texas","Right-Handed,Two-HandedBackhand","RicardoRubio"
"284","Patrik Rosenholm","r931","patrik-rosenholm","https://www.atptour.com/en/players/patrik-rosenholm/r931/overview","(1988.03.05)","","187lbs(85kg)","5'10""(178cm)","Stockholm,Sweden","Lidingo,Sweden","Right-Handed,One-HandedBackhand","AndrejTonejcandRickardBilling"
"285","Mate Pavic","pf00","mate-pavic","https://www.atptour.com/en/players/mate-pavic/pf00/overview","27(1993.07.04)","2011","183lbs(83kg)","6'3""(191cm)","Split,Croatia","Freeport,Bahamas","Left-Handed,Two-HandedBackhand","NadjaPavic"
